Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1 Score,Final Test FPR,Final Test FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_7,RF,weighted,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9706466500981454,0.9700028232636928,0.9684717721558904,0.9700028232636928,0.9686050176143044,0.005296610169491525,0.35331632653061223,6.009905099868774,5.051201581954956,35.333749532699585,46.394856214523315
function,WFI-RF,rem_8,RF,micro,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.9614434445032645,0.9609683794466403,0.9609683794466403,0.9609683794466403,0.9609683794466403,0.0050423728813559325,0.4387755102040816,6.009905099868774,5.051201581954956,32.68980813026428,43.75091481208801
function,WFI-RF,rem_8,RF,macro,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.837201498675504,0.9603331451157539,0.8991202609264531,0.7871422454760625,0.8311647743680953,0.00576271186440678,0.4362244897959184,6.009905099868774,5.051201581954956,32.5699348449707,43.631041526794434
function,WFI-RF,rem_8,RF,weighted,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.9585767602671402,0.9609683794466403,0.9585945125846235,0.9609683794466403,0.958444607658011,0.0050423728813559325,0.4387755102040816,6.009905099868774,5.051201581954956,32.5370569229126,43.59816360473633
function,WFI-RF,rem_9,RF,micro,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.9471548301720335,0.9461109542631282,0.9461109542631282,0.9461109542631282,0.9461109542631282,0.005211864406779661,0.5216836734693877,6.009905099868774,5.051201581954956,34.773252964019775,45.834359645843506
function,WFI-RF,rem_9,RF,macro,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.7906871838409342,0.9457580463015246,0.8819798741233137,0.723692593113324,0.7769297753506731,0.005169491525423729,0.5267857142857143,6.009905099868774,5.051201581954956,34.454071283340454,45.515177965164185
function,WFI-RF,rem_9,RF,weighted,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.9422369045046558,0.9461109542631282,0.9419264768618284,0.9461109542631282,0.9409232742781685,0.005211864406779661,0.5216836734693877,6.009905099868774,5.051201581954956,34.42925763130188,45.49036431312561
function,WFI-RF,rem_10,RF,micro,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.933480370533745,0.9311829474872954,0.9311829474872954,0.9311829474872954,0.9311829474872954,0.003898305084745763,0.7181122448979592,6.009905099868774,5.051201581954956,33.853360652923584,44.914467334747314
function,WFI-RF,rem_10,RF,macro,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.7209245161435831,0.9311829474872954,0.8479185923007933,0.6561615243532419,0.7108991625396243,0.003898305084745763,0.7181122448979592,6.009905099868774,5.051201581954956,33.630616903305054,44.691723585128784
function,WFI-RF,rem_10,RF,weighted,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.9234246730894228,0.9311829474872954,0.9236988196854342,0.9311829474872954,0.9202799746011977,0.003898305084745763,0.7181122448979592,6.009905099868774,5.051201581954956,33.75409436225891,44.81520104408264
function,WFI-RF,rem_11,RF,micro,4,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, deadband, solenoid",0.9116012351124835,0.9060206098249577,0.9060206098249577,0.9060206098249577,0.9060206098249577,0.0,1.0,6.009905099868774,5.051201581954956,23.757102966308594,34.818209648132324
function,WFI-RF,rem_11,RF,macro,4,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, deadband, solenoid",0.5497695192087925,0.9060206098249577,0.6432719941716268,0.5248908243050064,0.5386494085507914,0.0,1.0,6.009905099868774,5.051201581954956,23.75080919265747,34.8119158744812
